wind_speed,wdir,smois,fuels,ignition,safe_unsafe_ignition_pattern,safe_unsafe_fire_behavior,does_fire_meet_objectives,rationale_if_unsafe,burned_area,FILE
2,255,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,119156,https://wifire-data.sdsc.edu/data//burnpro3d/d/3d/3e/run_3d3e1104-6795-40f0-a221-0a997f019059/png/run_3d3e1104-6795-40f0-a221-0a997f019059_fuels-dens_2100_000.png
2,240,0.1,ST5_FFDUET_TLS,ST5_ignite_contour.dat,safe,safe,yes,,25361,https://wifire-data.sdsc.edu/data//burnpro3d/d/59/ef/run_59ef109e-9f1e-40f7-85e5-f3ada6eaef66/png/run_59ef109e-9f1e-40f7-85e5-f3ada6eaef66_fuels-dens_2100_000.png
3,225,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,147275,https://wifire-data.sdsc.edu/data//burnpro3d/d/8f/50/run_8f507f54-6878-4d3f-a7cf-28bc52203aec/png/run_8f507f54-6878-4d3f-a7cf-28bc52203aec_fuels-dens_2100_000.png
3,180,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,123499,https://wifire-data.sdsc.edu/data//burnpro3d/d/ea/32/run_ea3294bc-cdfe-4e8c-930a-22bc68c2e9ab/png/run_ea3294bc-cdfe-4e8c-930a-22bc68c2e9ab_fuels-dens_2100_000.png
3,180,0.1,ST5_FF_DUET,ST5_ignite_ring.dat,safe,safe,yes,,167673,https://wifire-data.sdsc.edu/data//burnpro3d/d/9b/23/run_9b239284-8d5b-4467-9ad1-93d5e594156e/png/run_9b239284-8d5b-4467-9ad1-93d5e594156e_fuels-dens_2100_000.png
2,240,0.1,ST5_FFDUET_TLS,ST5_ignite_ring.dat,safe,safe,yes,,37895,https://wifire-data.sdsc.edu/data//burnpro3d/d/87/43/run_8743c8a6-7e34-49b4-83dc-57e932e792cc/png/run_8743c8a6-7e34-49b4-83dc-57e932e792cc_fuels-dens_2100_000.png
12,180,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,unsafe,yes,,180817,https://wifire-data.sdsc.edu/data//burnpro3d/d/97/92/run_9792738d-9364-4a8e-9ce5-366a75315c26/png/run_9792738d-9364-4a8e-9ce5-366a75315c26_fuels-dens_2100_000.png
3,180,0.2,ST5_FF_DUET,ST5_ignite_ring.dat,safe,safe,yes,,142943,https://wifire-data.sdsc.edu/data//burnpro3d/d/be/2f/run_be2f9a71-da30-42fa-a5ae-282aff46a9ee/png/run_be2f9a71-da30-42fa-a5ae-282aff46a9ee_fuels-dens_2100_000.png
2,180,0.2,ST5_FFDUET_Over10m,ST5_ignite_strip.dat,safe,safe,yes,,150666,https://wifire-data.sdsc.edu/data//burnpro3d/d/c4/4a/run_c44ac9b8-aab8-48a1-a78a-b5b2b06089be/png/run_c44ac9b8-aab8-48a1-a78a-b5b2b06089be_fuels-dens_2100_000.png
8,195,0.2,ST5_FFDUET_Over10m,ST5_ignite_contour.dat,safe,other,yes,,139328,https://wifire-data.sdsc.edu/data//burnpro3d/d/9a/35/run_9a35a74c-c230-43b7-986d-f93c8b99f8e8/png/run_9a35a74c-c230-43b7-986d-f93c8b99f8e8_fuels-dens_2100_000.png
8,195,0.2,ST5_FF_DUET,ST5_ignite_strip.dat,safe,other,yes,,112534,https://wifire-data.sdsc.edu/data//burnpro3d/d/d7/3b/run_d73ba491-e813-42d5-9f35-d44d6ab663cd/png/run_d73ba491-e813-42d5-9f35-d44d6ab663cd_fuels-dens_2100_000.png
